day_id,open,high,low,close,volume
D0021715,0.5913,0.59822,0.5913,0.59768,74335.823
D0021730,0.59836,0.60058,0.59629,0.59654,17512.0437
D0021745,0.59609,0.59609,0.593,0.59478,11799.9363
D0021800,0.59659,0.60745,0.59659,0.60603,21001.179
D0021815,0.60528,0.60677,0.59917,0.60624,82600.7088
D0021830,0.60671,0.61037,0.6018,0.60983,23629.3186
D0021845,0.60972,0.62351,0.60939,0.62303,87578.3248
D0021900,0.6229,0.62496,0.61799,0.62345,27504.4423
D0021915,0.62206,0.62428,0.61888,0.62252,34527.9279
D0021930,0.62256,0.62343,0.61965,0.62323,9248.2723
D0021945,0.62346,0.6277,0.62286,0.62422,17895.0408
D0022000,0.62436,0.63105,0.62252,0.62874,30787.0752
D0022015,0.62892,0.636,0.62865,0.63482,21518.0261
D0022030,0.63487,0.64028,0.63388,0.63901,84798.4802
D0022045,0.63865,0.6396,0.63322,0.63735,22692.008
D0022100,0.63717,0.63902,0.63275,0.63902,18649.8959
D0022115,0.63883,0.64054,0.63782,0.63932,8249.1785
D0022130,0.63951,0.63964,0.63661,0.63754,49489.4256
D0022145,0.63751,0.63786,0.63617,0.63746,8593.1259
D0022200,0.63823,0.64052,0.6374,0.64024,20979.045
D0022215,0.64027,0.64131,0.63614,0.63797,6180.062
D0022230,0.63851,0.63863,0.6355,0.63652,18028.4547
D0022245,0.63611,0.63807,0.63432,0.63763,3138.0362
D0022300,0.63753,0.63836,0.63489,0.63836,4748.0116
D0022315,0.63809,0.6388,0.63631,0.63798,6428.5491
D0022330,0.63824,0.64028,0.63728,0.63868,7568.1968
D0022345,0.6386,0.63934,0.63705,0.63926,8444.5555
D0030000,0.63845,0.63845,0.63322,0.63724,9062.285
D0030015,0.6375,0.63855,0.63418,0.63616,12604.2874
D0030030,0.63655,0.64253,0.63519,0.64198,8398.2627
D0030045,0.63947,0.64142,0.63735,0.63809,7996.7179
D0030100,0.63838,0.64066,0.63693,0.63887,3953.025
D0030115,0.6391,0.64131,0.63903,0.64122,4888.8545
D0030130,0.64079,0.64098,0.6376,0.63927,10220.7629
D0030145,0.64044,0.64069,0.64021,0.64037,1655.7477
D0030200,0.64127,0.64208,0.64054,0.64092,4564.7716
D0030215,0.64121,0.64419,0.64079,0.64113,14182.0614
D0030230,0.642,0.64249,0.64052,0.64249,10676.5964
D0030245,0.64128,0.64209,0.6395,0.6396,3276.9116
D0030300,0.64034,0.64301,0.64034,0.6407,2985.26090569
D0030315,0.64035,0.64305,0.64021,0.64159,5657.7866
D0030330,0.6422,0.6483,0.6422,0.64589,16129.7257
D0030345,0.64411,0.64411,0.63279,0.636,32652.594
D0030400,0.63659,0.63964,0.63251,0.63325,8560.5165
D0030415,0.63357,0.63705,0.63357,0.63457,4032.2403
D0030430,0.63566,0.6359,0.63059,0.63147,10242.9625
D0030445,0.6305,0.63378,0.62989,0.63235,6382.3002
D0030500,0.63151,0.63151,0.62376,0.62721,9670.3149
D0030515,0.62712,0.62712,0.61958,0.62551,13500.8961
D0030530,0.62485,0.63035,0.62485,0.62696,5155.4234
D0030545,0.62861,0.63657,0.6286,0.63552,23754.9947
D0030600,0.63465,0.63753,0.63421,0.63667,8622.2598
D0030615,0.63693,0.63774,0.63221,0.63425,7704.8982
D0030630,0.63289,0.63475,0.6303,0.6303,6429.7108
D0030645,0.63,0.63262,0.6296,0.63024,2118.274
D0030700,0.63009,0.63294,0.62884,0.63144,3032.1207
D0030715,0.63116,0.63539,0.63104,0.63498,1316.9031
D0030730,0.63512,0.63528,0.63417,0.6342,1097.6865
D0030745,0.63342,0.63342,0.63074,0.63088,5466.8596
D0030800,0.6309,0.63623,0.6309,0.63473,2510.4209
D0030815,0.63409,0.63614,0.63239,0.63457,7267.8361
D0030830,0.63311,0.63533,0.63311,0.6346,1480.8139
D0030845,0.63497,0.63765,0.63464,0.63464,3221.4112
